"turn","color","output","condition","time","score"
"GE03","azzurro","muccheperse","pre","day_9",0
"GE03","azzurro","muccheperse","pre","day_10",0
"GE03","azzurro","muccheperse","pre","day_11",1
"GE03","azzurro","muccheperse","pre","day_12",3
"GE03","azzurro","muccheperse","pre","day_13",4
"GE03","azzurro","muccheperse","pre","day_14",4
"GE03","azzurro","muccheperse","pre","day_15",4
"GE03","azzurro","muccheperse","pre","day_16",4
"GE03","azzurro","muccheperse","pre","day_17",5
"GE03","azzurro","muccheperse","pre","day_18",5
"GE03","azzurro","muccheperse","pre","day_19",6
"GE03","azzurro","muccheperse","pre","day_20",7
"GE03","azzurro","muccheperse","pre","day_21",8
"GE03","azzurro","muccheperse","pre","day_22",8
"GE03","azzurro","muccheperse","pre","day_23",8
"GE03","azzurro","muccheperse","pre","day_24",11
"GE03","azzurro","muccheperse","pre","day_25",12
"GE03","azzurro","muccheperse","pre","day_26",13
"GE03","azzurro","muccheperse","pre","day_27",15
"GE03","azzurro","muccheperse","pre","day_28",15
"GE03","azzurro","muccheperse","pre","day_29",15
"GE03","azzurro","muccheperse","pre","day_30",15
"GE03","azzurro","muccheperse","pre","day_31",16
"GE03","azzurro","muccheperse","pre","day_32",18
"GE03","azzurro","muccheperse","pre","day_33",19
"GE03","azzurro","muccheperse","pre","day_34",21
"GE03","azzurro","muccheperse","pre","day_35",21
"GE03","azzurro","muccheslider","pre","day_0",1
"GE03","azzurro","muccheslider","pre","day_1",1
"GE03","azzurro","muccheslider","pre","day_2",1
"GE03","azzurro","muccheslider","pre","day_3",1
"GE03","azzurro","muccheslider","pre","day_4",1
"GE03","azzurro","muccheslider","pre","day_5",1
"GE03","azzurro","muccheslider","pre","day_6",1
"GE03","azzurro","muccheslider","pre","day_7",1
"GE03","azzurro","muccheslider","pre","day_8",4
"GE03","azzurro","muccheslider","pre","day_9",4
"GE03","azzurro","muccheslider","pre","day_10",4
"GE03","azzurro","muccheslider","pre","day_11",4
"GE03","azzurro","muccheslider","pre","day_12",4
"GE03","azzurro","muccheslider","pre","day_13",4
"GE03","azzurro","muccheslider","pre","day_14",4
"GE03","azzurro","muccheslider","pre","day_15",7
"GE03","azzurro","muccheslider","pre","day_16",7
"GE03","azzurro","muccheslider","pre","day_17",7
"GE03","azzurro","muccheslider","pre","day_18",7
"GE03","azzurro","muccheslider","pre","day_19",7
"GE03","azzurro","muccheslider","pre","day_20",7
"GE03","azzurro","muccheslider","pre","day_21",7
"GE03","azzurro","muccheslider","pre","day_22",10
"GE03","azzurro","muccheslider","pre","day_23",10
"GE03","azzurro","muccheslider","pre","day_24",10
"GE03","azzurro","muccheslider","pre","day_25",10
"GE03","azzurro","muccheslider","pre","day_26",10
"GE03","azzurro","muccheslider","pre","day_27",10
"GE03","azzurro","muccheslider","pre","day_28",10
"GE03","azzurro","muccheslider","pre","day_29",8
"GE03","azzurro","muccheslider","pre","day_30",8
"GE03","azzurro","muccheslider","pre","day_31",8
"GE03","azzurro","muccheslider","pre","day_32",8
"GE03","azzurro","muccheslider","pre","day_33",8
"GE03","azzurro","muccheslider","pre","day_34",8
"GE03","azzurro","muccheslider","pre","day_35",8
"GE03","blu","capital","pre","day_0",10
"GE03","blu","capital","pre","day_1",40
"GE03","blu","capital","pre","day_2",70
"GE03","blu","capital","pre","day_3",100
"GE03","blu","capital","pre","day_4",130
"GE03","blu","capital","pre","day_5",160
"GE03","blu","capital","pre","day_6",190
"GE03","blu","capital","pre","day_7",220
"GE03","blu","capital","pre","day_8",290
"GE03","blu","capital","pre","day_9",380
"GE03","blu","capital","pre","day_10",470
"GE03","blu","capital","pre","day_11",560
"GE03","blu","capital","pre","day_12",650
"GE03","blu","capital","pre","day_13",740
"GE03","blu","capital","pre","day_14",790
"GE03","blu","capital","pre","day_15",850
"GE03","blu","capital","pre","day_16",970
"GE03","blu","capital","pre","day_17",1090
"GE03","blu","capital","pre","day_18",1170
"GE03","blu","capital","pre","day_19",1210
"GE03","blu","capital","pre","day_20",1250
"GE03","blu","capital","pre","day_21",1290
"GE03","blu","capital","pre","day_22",1210
"GE03","blu","capital","pre","day_23",1330
"GE03","blu","capital","pre","day_24",1370
"GE03","blu","capital","pre","day_25",1410
"GE03","blu","capital","pre","day_26",1410
"GE03","blu","capital","pre","day_27",1370
"GE03","blu","capital","pre","day_28",1330
"GE03","blu","capital","pre","day_29",1050
"GE03","blu","capital","pre","day_30",1130
"GE03","blu","capital","pre","day_31",1130
"GE03","blu","capital","pre","day_32",1090
"GE03","blu","capital","pre","day_33",1050
"GE03","blu","capital","pre","day_34",1010
"GE03","blu","capital","pre","day_35",970
"GE03","blu","ccr","pre","day_0",0
"GE03","blu","ccr","pre","day_1",0
"GE03","blu","ccr","pre","day_2",0
"GE03","blu","ccr","pre","day_3",0
"GE03","blu","ccr","pre","day_4",0
"GE03","blu","ccr","pre","day_5",0
"GE03","blu","ccr","pre","day_6",0
"GE03","blu","ccr","pre","day_7",0
"GE03","blu","ccr","pre","day_8",0
"GE03","blu","ccr","pre","day_9",0
"GE03","blu","ccr","pre","day_10",0
"GE03","blu","ccr","pre","day_11",0
"GE03","blu","ccr","pre","day_12",0
"GE03","blu","ccr","pre","day_13",0
"GE03","blu","ccr","pre","day_14",0
"GE03","blu","ccr","pre","day_15",40
"GE03","blu","ccr","pre","day_16",40
"GE03","blu","ccr","pre","day_17",40
"GE03","blu","ccr","pre","day_18",40
"GE03","blu","ccr","pre","day_19",40
