"turn","color","output","condition","time","score","note"
"BR01","azzurro","muccheslider","pre","10",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","11",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","12",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","13",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","14",2,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","15",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","16",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","17",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","18",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","19",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","20",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","21",20,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","22",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","23",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","24",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","25",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","26",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","27",50,"used malus 100 Euro costante"
"BR01","azzurro","muccheslider","pre","28",50,"used malus 100 Euro costante"
"BR01","blu","capital","pre","0",10,"used malus 100 Euro costante"
"BR01","blu","capital","pre","1",40,"used malus 100 Euro costante"
"BR01","blu","capital","pre","2",70,"used malus 100 Euro costante"
"BR01","blu","capital","pre","3",100,"used malus 100 Euro costante"
"BR01","blu","capital","pre","4",130,"used malus 100 Euro costante"
"BR01","blu","capital","pre","5",160,"used malus 100 Euro costante"
"BR01","blu","capital","pre","6",190,"used malus 100 Euro costante"
"BR01","blu","capital","pre","7",220,"used malus 100 Euro costante"
"BR01","blu","capital","pre","8",240,"used malus 100 Euro costante"
"BR01","blu","capital","pre","9",160,"used malus 100 Euro costante"
"BR01","blu","capital","pre","10",180,"used malus 100 Euro costante"
"BR01","blu","capital","pre","11",200,"used malus 100 Euro costante"
"BR01","blu","capital","pre","12",220,"used malus 100 Euro costante"
"BR01","blu","capital","pre","13",240,"used malus 100 Euro costante"
"BR01","blu","capital","pre","14",260,"used malus 100 Euro costante"
"BR01","blu","capital","pre","15",230,"used malus 100 Euro costante"
"BR01","blu","capital","pre","16",320,"used malus 100 Euro costante"
"BR01","blu","capital","pre","17",130,"used malus 100 Euro costante"
"BR01","blu","capital","pre","18",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","19",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","20",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","21",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","22",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","23",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","24",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","25",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","26",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","27",NA,"used malus 100 Euro costante"
"BR01","blu","capital","pre","28",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","0",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","1",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","2",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","3",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","4",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","5",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","6",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","7",0,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","8",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","9",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","10",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","11",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","12",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","13",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","14",30,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","15",100,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","16",100,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","17",100,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","18",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","19",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","20",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","21",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","22",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","23",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","24",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","25",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","26",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","27",NA,"used malus 100 Euro costante"
"BR01","blu","ccr","pre","28",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","0",0,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","1",1,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","2",2,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","3",3,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","4",4,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","5",5,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","6",6,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","7",7,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","8",8,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","9",9,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","10",10,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","11",11,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","12",12,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","13",13,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","14",14,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","15",15,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","16",16,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","17",17,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","18",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","19",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","20",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","21",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","22",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","23",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","24",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","25",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","26",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","27",NA,"used malus 100 Euro costante"
"BR01","blu","daysurvived","pre","28",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","0",0,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","1",40,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","2",80,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","3",120,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","4",160,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","5",200,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","6",240,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","7",280,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","8",360,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","9",400,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","10",440,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","11",480,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","12",520,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","13",560,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","14",600,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","15",720,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","16",840,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","17",880,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","18",NA,"used malus 100 Euro costante"
"BR01","blu","energiaaquisita","pre","19",NA,"used malus 100 Euro costante"
