"turn","color","output","condition","time","score"
"BR04","rosso","muccheslider","pre","10",9
"BR04","rosso","muccheslider","pre","11",9
"BR04","rosso","muccheslider","pre","12",9
"BR04","rosso","muccheslider","pre","13",9
"BR04","rosso","muccheslider","pre","14",9
"BR04","rosso","muccheslider","pre","15",7
"BR04","rosso","muccheslider","pre","16",7
"BR04","rosso","muccheslider","pre","17",7
"BR04","rosso","muccheslider","pre","18",7
"BR04","rosso","muccheslider","pre","19",7
"BR04","rosso","muccheslider","pre","20",7
"BR04","rosso","muccheslider","pre","21",7
"BR04","rosso","muccheslider","pre","22",30
"BR04","rosso","muccheslider","pre","23",30
"BR04","rosso","muccheslider","pre","24",30
"BR04","rosso","muccheslider","pre","25",30
"BR04","rosso","muccheslider","pre","26",30
"BR04","rosso","muccheslider","pre","27",30
"BR04","rosso","muccheslider","pre","28",30
"BR04","azzurro","capital","post","0",10
"BR04","azzurro","capital","post","1",40
"BR04","azzurro","capital","post","2",70
"BR04","azzurro","capital","post","3",100
"BR04","azzurro","capital","post","4",130
"BR04","azzurro","capital","post","5",160
"BR04","azzurro","capital","post","6",190
"BR04","azzurro","capital","post","7",220
"BR04","azzurro","capital","post","8",270
"BR04","azzurro","capital","post","9",330
"BR04","azzurro","capital","post","10",390
"BR04","azzurro","capital","post","11",450
"BR04","azzurro","capital","post","12",510
"BR04","azzurro","capital","post","13",570
"BR04","azzurro","capital","post","14",620
"BR04","azzurro","capital","post","15",550
"BR04","azzurro","capital","post","16",670
"BR04","azzurro","capital","post","17",790
"BR04","azzurro","capital","post","18",910
"BR04","azzurro","capital","post","19",990
"BR04","azzurro","capital","post","20",1030
"BR04","azzurro","capital","post","21",1070
"BR04","azzurro","capital","post","22",790
"BR04","azzurro","capital","post","23",820
"BR04","azzurro","capital","post","24",800
"BR04","azzurro","capital","post","25",750
"BR04","azzurro","capital","post","26",700
"BR04","azzurro","capital","post","27",650
"BR04","azzurro","capital","post","28",600
"BR04","azzurro","ccr","post","0",0
"BR04","azzurro","ccr","post","1",0
"BR04","azzurro","ccr","post","2",0
"BR04","azzurro","ccr","post","3",0
"BR04","azzurro","ccr","post","4",0
"BR04","azzurro","ccr","post","5",0
"BR04","azzurro","ccr","post","6",0
"BR04","azzurro","ccr","post","7",0
"BR04","azzurro","ccr","post","8",0
"BR04","azzurro","ccr","post","9",0
"BR04","azzurro","ccr","post","10",0
"BR04","azzurro","ccr","post","11",0
"BR04","azzurro","ccr","post","12",0
"BR04","azzurro","ccr","post","13",0
"BR04","azzurro","ccr","post","14",0
"BR04","azzurro","ccr","post","15",170
"BR04","azzurro","ccr","post","16",170
"BR04","azzurro","ccr","post","17",170
"BR04","azzurro","ccr","post","18",170
"BR04","azzurro","ccr","post","19",170
"BR04","azzurro","ccr","post","20",170
"BR04","azzurro","ccr","post","21",170
"BR04","azzurro","ccr","post","22",400
"BR04","azzurro","ccr","post","23",400
"BR04","azzurro","ccr","post","24",400
"BR04","azzurro","ccr","post","25",400
"BR04","azzurro","ccr","post","26",400
"BR04","azzurro","ccr","post","27",400
"BR04","azzurro","ccr","post","28",400
"BR04","azzurro","daysurvived","post","0",0
"BR04","azzurro","daysurvived","post","1",1
"BR04","azzurro","daysurvived","post","2",2
"BR04","azzurro","daysurvived","post","3",3
"BR04","azzurro","daysurvived","post","4",4
"BR04","azzurro","daysurvived","post","5",5
"BR04","azzurro","daysurvived","post","6",6
"BR04","azzurro","daysurvived","post","7",7
"BR04","azzurro","daysurvived","post","8",8
"BR04","azzurro","daysurvived","post","9",9
"BR04","azzurro","daysurvived","post","10",10
"BR04","azzurro","daysurvived","post","11",11
"BR04","azzurro","daysurvived","post","12",12
"BR04","azzurro","daysurvived","post","13",13
"BR04","azzurro","daysurvived","post","14",14
"BR04","azzurro","daysurvived","post","15",15
"BR04","azzurro","daysurvived","post","16",16
"BR04","azzurro","daysurvived","post","17",17
"BR04","azzurro","daysurvived","post","18",18
"BR04","azzurro","daysurvived","post","19",19
"BR04","azzurro","daysurvived","post","20",20
"BR04","azzurro","daysurvived","post","21",21
"BR04","azzurro","daysurvived","post","22",22
"BR04","azzurro","daysurvived","post","23",23
"BR04","azzurro","daysurvived","post","24",24
"BR04","azzurro","daysurvived","post","25",25
"BR04","azzurro","daysurvived","post","26",26
"BR04","azzurro","daysurvived","post","27",27
"BR04","azzurro","daysurvived","post","28",28
"BR04","azzurro","energiaaquisita","post","0",0
"BR04","azzurro","energiaaquisita","post","1",40
"BR04","azzurro","energiaaquisita","post","2",80
"BR04","azzurro","energiaaquisita","post","3",120
"BR04","azzurro","energiaaquisita","post","4",160
"BR04","azzurro","energiaaquisita","post","5",200
"BR04","azzurro","energiaaquisita","post","6",240
"BR04","azzurro","energiaaquisita","post","7",280
"BR04","azzurro","energiaaquisita","post","8",360
"BR04","azzurro","energiaaquisita","post","9",440
"BR04","azzurro","energiaaquisita","post","10",520
"BR04","azzurro","energiaaquisita","post","11",600
"BR04","azzurro","energiaaquisita","post","12",680
"BR04","azzurro","energiaaquisita","post","13",760
"BR04","azzurro","energiaaquisita","post","14",830
"BR04","azzurro","energiaaquisita","post","15",990
"BR04","azzurro","energiaaquisita","post","16",1150
"BR04","azzurro","energiaaquisita","post","17",1310
"BR04","azzurro","energiaaquisita","post","18",1470
"BR04","azzurro","energiaaquisita","post","19",1590
"BR04","azzurro","energiaaquisita","post","20",1670
"BR04","azzurro","energiaaquisita","post","21",1750
